text	label
중목이 너무늘어짐이심해 줄줄흘러내리고 발에착감기는게 없어요.245신는데 중목이 많이커네요 덧신과 장목은 발에 맞긴하네요 조금따뜻하긴합니다.	0
3번째 구매해서쓰는데요..넘좋아요..망설임없이 구매하세요..	1
아직 사용전이에요. 포장 잘되어서 왔어요. 일요일 주문하고 월요일 바로 출고는 했는데 배송사 문제인지 목요일 되서야 받았어요ㅡㅜ	1
밥맛에 구수한 맛이 나서 맛있어요	1
역시나 우리 아이는 관심이 없네요ㅠㅠ	1
만족해요 가격도 좋고, 반지가 잘못 왔는데 연락드렸더니 바로 교환처리해주셔서 일주일만에 받았는데 기다린 보람이 있네요 너무 예뻐요!	1
모낭충이 뽑혀나가는 느낌이 ㅋㅋ	0
쨍한핑크라 이쁘고 화사하네요	1
사이즈도 작지않아 좋고 가벼워요	1
배송도빠르고 상처난것도 없네요 아직 딱딱해서 안먹어 봤는데 좋아보여요	1
목 받침 하려고 구매했는데 크기는 적당한거 같아요. 그런데 이 냄새는 미칠거 같네요. 식초냄새, 발냄새. 베고 있으니 발 안씻은 사람 발 옆에 누워있는 듯 하네요.	0
버벅대지 않고 잘 사용하였습니다~	1
교환배송 너무 느려요 신경좀 많이써주세요	0
그냥그래요 가격도싸고해서사봤더니 애들이맛이없다고해서 처치곤란이네요 사탕맛이좀그냥그래요 아쉬운맛이네요~	0
좋습니다.많니파세요.	1
써봤는데 트러블이 났어요.. 제 피부엔 안맞았나봐요 그냥 가족 줬습니다 민감성이신분들 테스트꼭 해보세요 그래도 용량이 작아서 다행..	0
맛있어요~ 인기가 많은 이유가 있어요~ 그렇지만 연어크기는 적당히 두툼했으면 좋겠어요ㅠㅠ	1
좋네요정말좋아요!	1
스크러치 너무 많고 배송상태 나빠요	0
사이즈가 작아서 안에서 놀아요	0
나물이왜뻣뻣하죠ㅜ	1
재구매 정말 편하고 티안나요	1
제품은 좋아요~아기도 거부감없이 잘 타고 잘 자요^^ 오배송되서 제품을 다시 풀러서 반품하는 헤프닝이 있었지만 그건 제품탓이 아니니깐여-	1
색감은 많이 나진 않지만 펄은 잘 보여지고 잘 발라져요	1
설치어렵지않고 너무좋아요 방전체가 환해진 느낌이라 좋네요	1
재구매 해외직구지만 늘 저렴하고 빠른 배송으로 매번 주문하고 있어요.	1
신랑이허벅지가 조금두꺼운편인데 너무꽉껴요ㅠㅠ그래서제가입을예정입니다...여자사이즈랑 남자사이즈랑 별반차이가안나네요.	0
만족합니다 요즘 국산 좋은 연근 구매하기가 어려운데 잘구매를 한것같습니다. 컨디션도 좋고 다음에 애용하겠습니다	1
아주 푹씬하고 좋아요 하루만 자봐서 아직은 모르겠어요 조금더 자봐야 알것같아요 생각보다 조금 높긴 했어요	1
가격대비 작은거같기두 해요ㅠㅠ	1
너무 맛있고. 바로 도정해주니 좋아요.. 또 구매하려구요	1
잘 설치했네요 갠찮아여	1
너무 뚜거운 감이 있다	0
모델링팩 살 때 사은품으로 온 알로애겔팩이 완전 좋아서 샀는데 같은 상품 아니네요 ㅠ	0
가성비 갑 벌써 여러번 구매하고 있는중입니다.	1
한달간 사용하며 다음에는 꼭 비싼걸사야겠다고 느낌^^	1
포인트 줄수 있어서 좋습니다	1
오랜만에 다시 샀어요	1
받자마자확인하니 뒷판이 갈라져 있네요 귀찮아서 그냥씁니다	0
크기만 엄청크고 물건도 사진이랑 다르네요	0
다른 어떤제품보다 스타일링에 효과있다	1
홍콩 마약 쿠키랑은 달라요~달지않고 버터향 많이 안납니다~재구매는 모르겠네요	1
