nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
Wave,"경조사테 가성비 좋게 입을 수 있을꺼같아요
원단도 좋고 사이즈도 딱 맞아요
180에 78입니다",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
+플랜B,세일기간 잘 샀어요. 가성비 좋고 편하게 착용하기 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
이상한검정랭킹룩,사이즈가 조금 미스지만 괜찮네요 이정도 가격이면 뭐,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
아즤띄,믿고입는 무탠다드. 베이직하게 매우 만족합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
모델아님,급하게 샀는데 그래도 퀄리티도 괜찮고 핏도 이뻐요 굿굿,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
뉴비뉴비능력자,제일 기본적인 블레이저인데도 이 가격으로 품질은 무신사만이 가능한거라 생각해요 사이즈 딱 맞았습니다 참고하세요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
급장,"급하게 정장 필요할 때, 좋습니다!
가격도 저렴하고 매우 만족해요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
급장,"급하기 정장 필요할 때, 빠른 배송에 저렴한 가격으로 구매하기 좋아요!",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
발랄한미국코디팁,급하게 필요해서 샀는데 역시 무탠다드라 기본은 하는 느낌,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
알찬청계천슬랙스,"완전 좋아요 
그냥 사시면 됩니다
재구매 의사 있음",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
연어포케,디자인 무난하고 핏도 여유있게 잘 맞아요 추천합니다!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
씩씩한대만룩,정장느낌 확실하고 깔끔해서 입고 다니기 좋고 편해요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
gOwOb,두꺼운 아우터를 입기엔 날씨가 애매해져서 마침 블레이저도 없겠다 주문했는데 마감이 전체적으로 괜찮은 것 같아요!!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
마진수궁둥이,무탠다드 슬랙스와 세트로 구매했는데 나름 만족스럽습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
끵끄,가을겨울용 블레이저는 역시 무탠다드가 최고인거 같습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
끵끄,결혼식때문에 급하게 블레이저를 구매했는데 가성비 최고인거 같습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
계란흰자85,"요즘 날씨 너무 멋스러워요
원단 재질도 좋은데 그래서 다소 좀 무거운감이 있어요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
정별이,l xl 두개 구매했습니다. 아들한테 잘 어울리네요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
감정적인제주핀,등쪽이 실밥 좀 나온 거 빼고는 다 만족스럽습니다.,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
짱짱드래곤스톤,합리적인 가격으로 무난하지만 꼭 있어여하는 검은 블레이저를 잘 샀어요. 두께가 사계절이용이라서 이런거 입을 날이 많을 봄 가을에 입기 딱 좋어요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
옷을사보자구나,너무 만족스러워요 스냅때 잘입고 찍엇어요 굿굿,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
302y302,세일해서 저렴하게 잘 샀어요. 가격이 저렴해서 휘뚜루마뚜루 입기 좋은 거 같아요,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
둥모,결혼식 장례식 회사 캐주얼 모든 곳에 잘 어울려요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
둥모,딱 캐주얼도 괜찮고 모든 상황에 어울리는 딱 적당합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
다정한프라하패치,핏이 오버사이즈로 가니 적당하게 잘맞았습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
엇2,경조사때 무난하게 입으려고 구매했습니다. 퀄리티도 좋고 괜찮네요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
몰로토프칵테일,자켓이 한국인 보통 체형에 잘 맞춰서 만들어진 것 같아요. 별다른 수선 없이 자켓 품이나 어깨 소미길이까지 다 잘 맞네요. 정장이 부분마다 잘 안 맞으면 수선 때문에 골치 아픈데 간편하게 해결해서 좋네요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
몰로토프칵테일,"여름 제외한 모든 봄 가을 겨울에 입기 적합한 두께감이구요, 일반적인 체형에 품, 어깨, 팔길이, 총장 모두 적당해서 수선없이 바로 입기 좋습니다. 이 가격에 편안하게 입을 수 있는 정장 세트 마련할 수 있어서 매우 만족합니다.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
코뿔소하마,세일해서 샀는데 원하던 사이즈가 정확히 맞네요 딱 깔씀한 느낌입니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
크라라라라,핏 좋고 가성비 좋게 느껴집니다 재구매 의사 있습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
공인노무사,무난무난한 재킷입니다 겨울에 입기엔 얇아요 세일할때면 살만함,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
